date,hits,geo,time,keyword,gprop,category
2019-01-26T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-27T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-28T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-29T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-30T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-31T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-01T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-02T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-03T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-04T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-05T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-06T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-07T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-08T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-09T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-10T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-11T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-12T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-13T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-14T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-15T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-16T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-17T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-18T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-19T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-20T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-21T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-22T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-23T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-24T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-25T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-26T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-27T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-02-28T00:00:00Z,1,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-01T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-02T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-03T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-04T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-05T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-06T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-07T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-08T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-09T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-10T00:00:00Z,2,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-11T00:00:00Z,29,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-12T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-13T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-14T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-15T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-16T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-17T00:00:00Z,16,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-18T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-19T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-20T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-21T00:00:00Z,21,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-22T00:00:00Z,20,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-23T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-24T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-25T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-26T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-27T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-28T00:00:00Z,25,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-29T00:00:00Z,24,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-30T00:00:00Z,31,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-03-31T00:00:00Z,26,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-01T00:00:00Z,29,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-02T00:00:00Z,35,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-03T00:00:00Z,28,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-04T00:00:00Z,28,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-05T00:00:00Z,23,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-06T00:00:00Z,23,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-07T00:00:00Z,28,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-08T00:00:00Z,30,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-09T00:00:00Z,22,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-10T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-11T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-12T00:00:00Z,30,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-13T00:00:00Z,26,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-14T00:00:00Z,78,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-15T00:00:00Z,74,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-16T00:00:00Z,69,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-17T00:00:00Z,55,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-18T00:00:00Z,35,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-19T00:00:00Z,29,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-20T00:00:00Z,27,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-21T00:00:00Z,26,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-22T00:00:00Z,21,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-23T00:00:00Z,42,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-24T00:00:00Z,23,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-25T00:00:00Z,27,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-26T00:00:00Z,18,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-27T00:00:00Z,15,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-28T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-29T00:00:00Z,15,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-04-30T00:00:00Z,22,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-01T00:00:00Z,16,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-02T00:00:00Z,15,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-03T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-04T00:00:00Z,13,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-05T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-06T00:00:00Z,11,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-07T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-08T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-09T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-10T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-11T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-12T00:00:00Z,11,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-13T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-14T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-15T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-16T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-17T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-18T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-19T00:00:00Z,21,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-20T00:00:00Z,32,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-21T00:00:00Z,21,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-22T00:00:00Z,15,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-23T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-24T00:00:00Z,13,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-25T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-26T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-27T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-28T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-29T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-30T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-05-31T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-01T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-02T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-03T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-04T00:00:00Z,11,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-05T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-06T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-07T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-08T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-09T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-10T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-11T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-12T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-13T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-14T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-15T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-16T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-17T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-18T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-19T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-20T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-21T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-22T00:00:00Z,13,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-23T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-24T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-25T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-26T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-27T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-28T00:00:00Z,100,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-29T00:00:00Z,25,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-06-30T00:00:00Z,16,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-01T00:00:00Z,14,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-02T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-03T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-04T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-05T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-06T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-07T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-08T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-09T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-10T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-11T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-12T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-13T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-14T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-15T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-16T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-17T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-18T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-19T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-20T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-21T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-22T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-23T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-24T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-25T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-26T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-27T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-28T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-29T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-30T00:00:00Z,9,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-07-31T00:00:00Z,46,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-01T00:00:00Z,17,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-02T00:00:00Z,11,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-03T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-04T00:00:00Z,12,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-05T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-06T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-07T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-08T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-09T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-10T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-11T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-12T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-13T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-14T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-15T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-16T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-17T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-18T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-19T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-20T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-21T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-22T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-23T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-24T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-25T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-26T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-27T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-28T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-29T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-30T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-08-31T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-01T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-02T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-03T00:00:00Z,3,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-04T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-05T00:00:00Z,10,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-06T00:00:00Z,8,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-07T00:00:00Z,7,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-08T00:00:00Z,5,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-09T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-10T00:00:00Z,4,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-09-11T00:00:00Z,6,world,2019-01-01 2019-09-13,buttigieg,web,All categories
2019-01-01T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-02T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-03T00:00:00Z,4,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-04T00:00:00Z,4,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-05T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-06T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-07T00:00:00Z,4,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-08T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-09T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-10T00:00:00Z,4,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-11T00:00:00Z,0,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-12T00:00:00Z,91,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-13T00:00:00Z,72,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-14T00:00:00Z,18,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-15T00:00:00Z,7,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-16T00:00:00Z,10,world,2019-01-01 2019-09-13,castro,web,All categories
2019-01-17T00:00:00Z,10,world,2019-01-01 2019-09-13,castro,web,All categories
